State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Andhra Pradesh,Kakinada,746,Gollaprolu,4902,Vijayanagaram,విజయనగరం,authoritative,587332,533449,,
Andhra Pradesh,Tirupati,752,Ozili,5189,Vijayanellore,విజయనెల్లోర్,transliterated,592456,524421,,
Andhra Pradesh,Eluru,748,Pedavegi,4964,Vijayarai,విజయరాయి,authoritative,588381,534475,,
Andhra Pradesh,Vizianagaram,521,Rajam,4796,Vijayaramapuram,విజయరామపురం,authoritative,581317,532127,,
Andhra Pradesh,Srikakulam,519,Laveru,4804,Vijayaramapuram,విజయరామపురం,authoritative,581597,532403,,
Andhra Pradesh,Srikakulam,519,Sarubujjili,4793,Vijayarampuram,విజయరాంపురం,authoritative,581148,532458,,
Andhra Pradesh,Parvathipuram Manyam,743,Makkuva,4813,Vijayarampuram,విజయరాంపురం,authoritative,582199,535527,,
Andhra Pradesh,Vizianagaram,521,Cheepurupalli,4827,Vijayarampuram,విజయరాంపురం,authoritative,582808,535125,,
Andhra Pradesh,Visakhapatnam,520,Padmanabham,4864,Vijayarampuram,విజయరాంపురం,authoritative,586120,531219,,
Andhra Pradesh,Vizianagaram,521,Garividi,4826,Vijayarampuram (Near) Kumaram,విజయరాంపురం (నియర్) కుమారం,transliterated,582789,535101,,
Andhra Pradesh,Vizianagaram,521,Bobbili,4816,Vijayarampuram (Near) Mettavalasa,విజయరాంపురం (నియర్) మెట్టవలస,transliterated,582345,535559,,
Andhra Pradesh,Anakapalli,744,Rambilli,4883,Vijayarampuram Agraharam,విజయరాంపురం అగ్రహారం,transliterated,586514,531061,,
Andhra Pradesh,Ntr,749,Vijayawada North,6864,Vijayawada Rural,విజయవాడ రూరల్,transliterated,930360,520001,,
Andhra Pradesh,Ntr,749,Vijayawada Central,5010,Vijayawada Town,విజయవాడ టౌన్,transliterated,929837,520001,,
Andhra Pradesh,Ntr,749,Vijayawada East,6863,Vijayawada Town Portion (Part),విజయవాడ టౌన్ పోర్షన్ (పార్ట్),transliterated,954876,520010,,
Andhra Pradesh,Ntr,749,Vijayawada West,6865,Vijayawada Town Portion (Part),విజయవాడ టౌన్ పోర్షన్ (పార్ట్),transliterated,954878,520001,,
Andhra Pradesh,Ntr,749,Vijayawada West,6865,Vijayawada Village Portion (Part),విజయవాడ విలేజ్ పోర్షన్ (పార్ట్),transliterated,954879,520012,,
Andhra Pradesh,East Godavari,505,Nidadavole,4960,Vijjeswaram,విజ్జేశ్వరం,authoritative,588305,534302,,
Andhra Pradesh,Parvathipuram Manyam,743,Veeraghattam,4769,Vikrampuram,విక్రంపురం,authoritative,579921,532460,,
Andhra Pradesh,Srikakulam,519,Sompeta,4780,Vikrampuram,విక్రంపురం,authoritative,580488,532264,,
Andhra Pradesh,Srikakulam,519,Tekkali,4789,Vikrampuram,విక్రంపురం,authoritative,580969,532203,,
Andhra Pradesh,Parvathipuram Manyam,743,Komarada,4807,Vikrampuram,విక్రంపురం,authoritative,581817,535521,,
Andhra Pradesh,Tirupati,752,Yerpedu,5377,Vikruthamala,వికృతమాల,authoritative,595802,517526,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Ainavilli,4933,Vilasa,విలస,authoritative,587777,533577,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,K Gangavaram,4929,Vilasa Gangavaram,విలాస గంగావరం,transliterated,587711,533262,,
Andhra Pradesh,Chittoor,503,Srirangarajapuram,5419,Vilasavarahapuram,విలాసవరాహపురం,authoritative,596642,517167,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Uppalaguptam,4942,Vilasavilli,విలసవిల్లి,authoritative,587891,533213,,
Andhra Pradesh,Polavaram,791,Gurthedu,7562,Villarti,విల్లర్తి,authoritative,586647,533348,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Thotapalligudur,5180,Vilukanipalle,విలుకానిపల్లె,authoritative,592140,524002,,
Andhra Pradesh,Ntr,749,Gampalagudem,4996,Vinagadapa,వినగడప,authoritative,588960,521403,,
Andhra Pradesh,Vizianagaram,521,Srungavarapukota,4831,Vinayakapalle,వినాయకపల్లె,transliterated,582980,535145,,
Andhra Pradesh,Polavaram,791,Chinturu,4732,Vinayakapuram,వినాయకపురం,authoritative,579148,533352,,
Andhra Pradesh,Srikakulam,519,Tekkali,4789,Vindhyagiri,వింధ్యగిరి,transliterated,581004,532212,,
Andhra Pradesh,Vizianagaram,521,Dattirajeru,4823,Vindhyavasi,వింధ్యవాసి,transliterated,582668,535582,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Gudur,5184,Vinduru,విందూరు,authoritative,592211,524406,,
